question_id,LGSM_Top1_Correct,LLM_Top1_Correct,Oracle_Sentence,Oracle_Question,Oracle_Answer,Oracle_Verified,LGSM_Sentence,LGSM_Question,LGSM_Answer,LGSM_Verified,LLMJudge_Sentence,LLMJudge_Question,LLMJudge_Answer,LLMJudge_Verified
ctx_validation_0,0,0,"This fragmentation was decisive in Khwarezmia's defeats, as it allowed the Mongols, although exhausted from the long journey, to immediately set about defeating small fractions of the Khwarzemi forces instead of facing a unified defense.",How did the fragmentation of the Shah's army contribute to Khwarezmia's defeat?,"allowing the Mongols, although exhausted from the long journey, to immediately set about defeating small fractions of the Khwarzemi forces instead of facing a unified defense",1,The Shah's army was split by diverse internecine feuds and by the Shah's decision to divide his army into small groups concentrated in various cities.,What caused the Khwarzemi forces' defeat at the hands of the Mongols?,fragmentation,0,The Shah's army was split by diverse internecine feuds and by the Shah's decision to divide his army into small groups concentrated in various cities.,What caused the Khwarzemi forces' defeat at the hands of the Mongols?,fragmentation,0
ctx_validation_1,1,1,"While the Treaties and Regulations will have direct effect (if clear, unconditional and immediate), Directives do not generally give citizens (as opposed to the member state) standing to sue other citizens.",What does the target sentence state about Directives?,Directives do not generally give citizens (as opposed to the member state) standing to sue other citizens.,1,"While the Treaties and Regulations will have direct effect (if clear, unconditional and immediate), Directives do not generally give citizens (as opposed to the member state) standing to sue other citizens.",What does the Target Sentence state about the relationship between Directives and citizen's ability to sue?,Directives do not generally give citizens standing to sue other citizens.,1,"While the Treaties and Regulations will have direct effect (if clear, unconditional and immediate), Directives do not generally give citizens (as opposed to the member state) standing to sue other citizens.",What does the Target Sentence state about Directives?,Directives do not generally give citizens (as opposed to the member state) standing to sue other citizens.,1
ctx_validation_10,1,1,"Edward John Noble, the owner of Life Savers candy, drugstore chain Rexall and New York City radio station WMCA, purchased the network for $8 million.",Who bought the network for $8 million?,Edward John Noble,1,"Edward John Noble, the owner of Life Savers candy, drugstore chain Rexall and New York City radio station WMCA, purchased the network for $8 million.",Who purchased the network for $8 million?,Edward John Noble,1,"Edward John Noble, the owner of Life Savers candy, drugstore chain Rexall and New York City radio station WMCA, purchased the network for $8 million.",Who purchased the network for $8 million?,Edward John Noble,1
ctx_validation_100,1,1,"Another important monument, the statue of Little Insurgent located at the ramparts of the Old Town, commemorates the children who served as messengers and frontline troops in the Warsaw Uprising, while the impressive Warsaw Uprising Monument by Wincenty Kućma was erected in memory of the largest insurrection of World War II.",What other significant monument exists in Warsaw that honors the contributions of children during the Warsaw Uprising?,The statue of Little Insurgent located at the ramparts of the Old Town.,1,"Another important monument, the statue of Little Insurgent located at the ramparts of the Old Town, commemorates the children who served as messengers and frontline troops in the Warsaw Uprising, while the impressive Warsaw Uprising Monument by Wincenty Kućma was erected in memory of the largest insurrection of World War II.",What other significant monument exists besides the Warsaw Citadel?,The statue of Little Insurgent located at the ramparts of the Old Town,1,"The Warsaw Citadel, an impressive 19th-century fortification built after the defeat of the November Uprising, was a place of martyr for the Poles.",What historical event did the Warsaw Citadel commemorate?,the defeat of the November Uprising,1
ctx_validation_101,1,1,"A construction project is a complex net of contracts and other legal obligations, each of which all parties must carefully consider.",What does the context passage state about construction projects?,"Construction projects involve careful consideration of multiple contracts and legal obligations, with emphasis on ensuring clarity and smooth execution despite time constraints.",1,"A construction project is a complex net of contracts and other legal obligations, each of which all parties must carefully consider.",What does the context passage state about construction projects?,"Construction projects involve careful consideration of multiple contracts and legal obligations, with emphasis on ensuring clarity and smooth execution despite time constraints.",1,"A construction project is a complex net of contracts and other legal obligations, each of which all parties must carefully consider.",What does the context passage state about construction projects?,"Construction projects involve careful consideration of multiple contracts and legal obligations, with emphasis on ensuring clarity and smooth execution despite time constraints.",1
ctx_validation_102,0,1,"In addition, the United Methodist Church prohibits the celebration of same-sex unions.",What does the United Methodist Church prohibit regarding same-sex unions?,The United Methodist Church prohibits the celebration of same-sex unions.,1,"It forbids any United Methodist board, agency, committee, commission, or council to give United Methodist funds to any gay organization or group, or otherwise use such funds to promote the acceptance of homosexuality.",What does the United Methodist Church prohibit regarding funding for organizations related to homosexuality?,The United Methodist Church forbids giving United Methodist funds to any gay organization or group.,1,"In addition, the United Methodist Church prohibits the celebration of same-sex unions.",What does the United Methodist Church prohibit regarding same-sex unions?,The United Methodist Church prohibits the celebration of same-sex unions.,1
ctx_validation_103,1,1,"Jacksonville, like most large cities in the United States, suffered from negative effects of rapid urban sprawl after World War II.",What was one of the main issues faced by Jacksonville following World War II?,rapid urban sprawl,1,"Jacksonville, like most large cities in the United States, suffered from negative effects of rapid urban sprawl after World War II.",What was one of the main issues faced by Jacksonville following World War II?,rapid urban sprawl,1,"Jacksonville, like most large cities in the United States, suffered from negative effects of rapid urban sprawl after World War II.",What was one of the major issues faced by Jacksonville after World War II?,rapid urban sprawl,1
ctx_validation_104,1,1,"For reasons of economy, oxygen is often transported in bulk as a liquid in specially insulated tankers, since one liter of liquefied oxygen is equivalent to 840 liters of gaseous oxygen at atmospheric pressure and 20 °C (68 °F).",Why is oxygen commonly transported in bulk as a liquid in specially insulated tankers?,For reasons of economy.,1,"For reasons of economy, oxygen is often transported in bulk as a liquid in specially insulated tankers, since one liter of liquefied oxygen is equivalent to 840 liters of gaseous oxygen at atmospheric pressure and 20 °C (68 °F).",Why is oxygen commonly transported in bulk as a liquid in specially insulated tankers?,For reasons of economy.,1,"For reasons of economy, oxygen is often transported in bulk as a liquid in specially insulated tankers, since one liter of liquefied oxygen is equivalent to 840 liters of gaseous oxygen at atmospheric pressure and 20 °C (68 °F).",Why is oxygen commonly transported in bulk as a liquid in specially insulated tankers?,For reasons of economy.,1
ctx_validation_105,1,1,"However its role participation in the legislative process still remains limited because no member can actually or pass legislation without the Commission and Council, meaning power (""kratia"") is not in the hands of directly elected representatives of the people (""demos""): in the EU it is not yet true that ""the administration is in the hands of the many and not of the few.""",What limitation does the Parliament face regarding its ability to participate in the legislative process?,No member can actually or pass legislation without the Commission and Council.,1,"However its role participation in the legislative process still remains limited because no member can actually or pass legislation without the Commission and Council, meaning power (""kratia"") is not in the hands of directly elected representatives of the people (""demos""): in the EU it is not yet true that ""the administration is in the hands of the many and not of the few.""",What limitation does the role of participation in the legislative process face due to the involvement of the Commission and Council?,"Power (""kratia"") is not in the hands of directly elected representatives of the people (""demos"").",1,"While the Commission has a monopoly on initiating legislation, the European Parliament and the Council of the European Union have powers of amendment and veto during the legislative process.",What powers does the European Parliament and the Council of the European Union possess regarding legislation?,The European Parliament and the Council of the European Union have powers of amendment and veto during the legislative process.,1
ctx_validation_106,1,1,The Social Chapter is a chapter of the 1997 Treaty of Amsterdam covering social policy issues in European Union law.,What document does the Social Chapter refer to?,Social Charter,1,The Social Chapter is a chapter of the 1997 Treaty of Amsterdam covering social policy issues in European Union law.,What document does the Social Chapter refer to?,Social Charter,1,The Social Chapter is a chapter of the 1997 Treaty of Amsterdam covering social policy issues in European Union law.,What document does the Social Chapter refer to?,Social Charter,1
